bowler,runs_bowler,balls_bowled,economy
A Ashish Reddy,396,262,9.068702290076336
A Badoni,49,35,8.4
A Chandila,242,234,6.205128205128205
A Choudhary,144,101,8.554455445544555
A Dananjaya,47,24,11.75
A Flintoff,105,66,9.545454545454545
A Kamboj,286,189,9.079365079365079
A Kumble,1058,965,6.578238341968912
A Mishra,4145,3371,7.377632749925838
A Mithun,472,288,9.833333333333334
A Nehra,2495,1908,7.845911949685535
A Nel,31,18,10.333333333333334
A Nortje,1657,1096,9.071167883211679
A Singh,620,473,7.864693446088795
A Symonds,674,527,7.673624288425048
A Uniyal,66,36,11.0
A Zampa,652,467,8.376873661670235
AA Chavan,326,248,7.887096774193548
AA Jhunjhunwala,129,85,9.105882352941176
AA Kazi,21,12,10.5
AA Noffke,40,24,10.0
AB Agarkar,1151,782,8.831202046035806
AB Dinda,2034,1498,8.146862483311082
AB McDonald,261,186,8.419354838709678
AC Gilchrist,0,1,0.0
AC Thomas,391,297,7.898989898989899
AC Voges,76,54,8.444444444444445
AD Mascarenhas,356,308,6.935064935064935
AD Mathews,1079,791,8.184576485461442
AD Russell,2836,1788,9.516778523489933
AF Milne,327,207,9.478260869565217
AG Murtaza,313,264,7.113636363636363
AJ Finch,67,43,9.348837209302326
AJ Hosein,40,24,10.0
AJ Tye,979,684,8.587719298245615
AK Markram,274,187,8.79144385026738
AL Menaria,144,110,7.8545454545454545
AM Nayar,322,229,8.436681222707424
AM Rahane,5,6,5.0
AM Salvi,200,150,8.0
AN Ahmed,498,344,8.686046511627907
AP Dole,112,66,10.181818181818182
AR Patel,4052,3309,7.3472348141432455
AS Joseph,691,434,9.55299539170507
AS Rajpoot,814,529,9.232514177693762
AS Raut,44,30,8.8
AS Roy,218,160,8.175
AU Rashid,91,60,9.1
AUK Pathan,63,39,9.692307692307692
Abdul Samad,119,56,12.75
Abdur Razzak,29,12,14.5
Abhishek Sharma,496,330,9.018181818181818
Akash Deep,548,278,11.827338129496402
Akash Madhwal,590,352,10.056818181818182
Akash Singh,326,205,9.541463414634146
Aman Hakim Khan,13,6,13.0
Anand Rajan,201,149,8.093959731543624
Ankit Sharma,450,367,7.356948228882834
Ankit Soni,144,109,7.926605504587156
Anureet Singh,623,412,9.072815533980583
Arjun Tendulkar,114,73,9.36986301369863
Arshad Khan,497,260,11.46923076923077
Arshad Khan (2),24,12,12.0
Arshdeep Singh,2570,1714,8.996499416569428
Ashwani Kumar,232,123,11.317073170731707
Atharva Taide,4,1,24.0
Avesh Khan,2461,1619,9.120444718962322
Azhar Mahmood,700,537,7.82122905027933
Azmatullah Omarzai,465,288,9.6875
B Akhil,242,188,7.723404255319149
B Chipli,20,6,20.0
B Geeves,91,48,11.375
B Kumar,5412,4222,7.691141639033633
B Laughlin,282,168,10.071428571428571
B Lee,1095,875,7.508571428571429
B Stanlake,200,144,8.333333333333334
BA Bhatt,397,296,8.047297297297296
BA Stokes,992,689,8.638606676342526
BAW Mendis,303,244,7.450819672131147
BB Sran,757,483,9.403726708074535
BCJ Cutting,429,281,9.160142348754448
BE Hendricks,235,150,9.4
BJ Hodge,303,234,7.769230769230769
BJ Rohrer,12,6,12.0
BMAJ Mendis,36,30,7.2
BW Hilfenhaus,479,372,7.725806451612903
Basil Thampi,846,521,9.742802303262955
Bipul Sharma,572,426,8.056338028169014
C Bosch,55,42,7.857142857142857
C Ganapathy,13,6,13.0
C Green,664,439,9.075170842824601
C Munro,15,12,7.5
C Nanda,57,48,7.125
C Sakariya,599,426,8.43661971830986
C de Grandhomme,319,216,8.86111111111111
CH Gayle,714,542,7.904059040590406
CH Morris,2309,1726,8.026651216685979
CJ Anderson,518,297,10.464646464646465
CJ Dala,34,18,11.333333333333334
CJ Green,24,17,8.470588235294118
CJ Jordan,1081,674,9.623145400593472
CJ McKay,60,42,8.571428571428571
CK Kapugedera,49,17,17.294117647058822
CK Langeveldt,187,156,7.1923076923076925
CL White,86,42,12.285714285714286
CR Brathwaite,379,254,8.952755905511811
CR Woakes,658,440,8.972727272727273
CRD Fernando,298,234,7.641025641025641
CV Varun,2346,1864,7.551502145922747
D Brevis,8,3,16.0
D Jansen,53,24,13.25
D Kalyankrishna,87,48,10.875
D Pretorius,238,150,9.52
D Salunkhe,78,47,9.957446808510639
D Wiese,401,272,8.845588235294118
D du Preez,56,42,8.0
DA Warner,2,1,12.0
DAJ Bracewell,32,24,8.0
DB Ravi Teja,28,18,9.333333333333334
DE Bollinger,693,576,7.21875
DG Nalkande,148,84,10.571428571428571
DJ Bravo,4360,3120,8.384615384615385
DJ Harris,26,18,8.666666666666666
DJ Hooda,546,379,8.643799472295514
DJ Hussey,474,317,8.97160883280757
DJ Mitchell,97,48,12.125
DJ Muthuswami,101,84,7.214285714285714
DJ Thornely,40,42,5.714285714285714
DJ Willey,272,216,7.555555555555555
DJG Sammy,350,236,8.898305084745763
DJM Short,19,18,6.333333333333333
DL Chahar,2556,1891,8.109994711792702
DL Vettori,879,777,6.787644787644788
DNT Zoysa,99,66,9.0
DP Nannes,785,646,7.291021671826625
DP Vijaykumar,199,152,7.855263157894737
DR Sams,523,360,8.716666666666667
DR Smith,810,539,9.01669758812616
DS Kulkarni,2438,1763,8.297220646625071
DS Rathi,429,312,8.25
DT Christian,1192,883,8.099660249150622
DW Steyn,2523,2182,6.937671860678277
E Malinga,210,136,9.264705882352942
F du Plessis,16,6,16.0
FA Allen,136,90,9.066666666666666
FH Edwards,154,140,6.6
FY Fazal,20,12,10.0
Fazalhaq Farooqi,437,254,10.32283464566929
G Coetzee,472,273,10.373626373626374
GB Hogg,570,458,7.467248908296943
GC Viljoen,222,138,9.652173913043478
GD McGrath,357,324,6.611111111111111
GD Phillips,40,30,8.0
GH Vihari,47,42,6.714285714285714
GHS Garton,135,90,9.0
GJ Maxwell,1413,1022,8.29549902152642
GR Napier,27,24,6.75
GS Sandhu,82,48,10.25
Gagandeep Singh,141,84,10.071428571428571
Gulbadin Naib,12,6,12.0
Gurkeerat Singh,97,78,7.461538461538462
Gurnoor Brar,42,18,14.0
H Sharma,57,30,11.4
HF Gurney,238,162,8.814814814814815
HH Pandya,2492,1628,9.184275184275185
HR Shokeen,314,204,9.235294117647058
HV Patel,3513,2376,8.871212121212121
Harbhajan Singh,4030,3416,7.078454332552694
Harmeet Singh,731,549,7.9890710382513666
Harpreet Brar,1085,811,8.027127003699137
Harsh Dubey,98,60,9.8
Harshit Rana,1002,637,9.437990580847723
I Malhotra,23,6,23.0
I Sharma,3377,2419,8.376188507647788
I Udana,282,174,9.724137931034482
IC Pandey,591,462,7.675324675324675
IC Porel,39,24,9.75
IK Pathan,2649,2043,7.779735682819383
IS Sodhi,202,181,6.696132596685083
Imran Tahir,1703,1316,7.764437689969605
Iqbal Abdulla,1109,920,7.232608695652174
Ishan Kishan,4,1,24.0
J Botha,800,694,6.916426512968299
J Little,339,228,8.921052631578947
J Overton,83,36,13.833333333333334
J Suchith,602,420,8.6
J Syed Mohammad,283,192,8.84375
J Theron,302,221,8.199095022624434
J Yadav,443,384,6.921875
JA Morkel,2359,1723,8.214741729541498
JA Richardson,157,90,10.466666666666667
JC Archer,1602,1218,7.891625615763547
JD Ryder,303,236,7.703389830508475
JD Unadkat,3342,2244,8.935828877005347
JDP Oram,349,237,8.835443037974683
JDS Neesham,334,216,9.277777777777779
JE Root,14,12,7.0
JE Taylor,157,117,8.051282051282051
JEC Franklin,220,151,8.741721854304636
JH Kallis,2293,1742,7.897818599311137
JJ Bumrah,4059,3359,7.250372134563858
JJ van der Wath,129,72,10.75
JL Pattinson,320,213,9.014084507042254
JM Kemp,54,44,7.363636363636363
JO Holder,1461,995,8.810050251256282
JP Behrendorff,552,366,9.049180327868852
JP Duminy,834,678,7.380530973451328
JP Faulkner,1764,1214,8.71828665568369
JPR Scantlebury-Searles,89,42,12.714285714285714
JR Hazlewood,1196,867,8.27681660899654
JR Hopes,548,360,9.133333333333333
JW Hastings,66,58,6.827586206896552
Jalaj S Saxena,27,18,9.0
Jaskaran Singh,171,102,10.058823529411764
Joginder Sharma,419,256,9.8203125
K Goel,93,66,8.454545454545455
K Gowtham,808,588,8.244897959183673
K Kartikeya,407,282,8.659574468085106
K Khejroliya,229,133,10.330827067669173
K Rabada,2741,1911,8.605965463108321
K Santokie,90,48,11.25
K Upadhyay,81,54,9.0
K Yadav,84,54,9.333333333333334
KA Jamieson,416,258,9.674418604651162
KA Maharaj,39,36,6.5
KA Pollard,2180,1488,8.790322580645162
KAJ Roach,80,48,10.0
KC Cariappa,348,216,9.666666666666666
KH Pandya,2985,2398,7.468723936613845
KJ Abbott,177,96,11.0625
KK Ahmed,2328,1556,8.976863753213367
KK Cooper,757,576,7.885416666666667
KL Nagarkoti,285,180,9.5
KM Asif,231,133,10.421052631578947
KMA Paul,237,163,8.723926380368098
KMDN Kulasekara,120,102,7.0588235294117645
KP Appanna,286,216,7.944444444444445
KP Pietersen,215,174,7.413793103448276
KR Mayers,59,42,8.428571428571429
KR Sen,387,241,9.634854771784232
KS Williamson,31,18,10.333333333333334
KT Maphaka,143,66,13.0
KV Sharma,2215,1585,8.384858044164037
KW Richardson,472,335,8.453731343283582
Kamran Khan,239,166,8.63855421686747
Karanveer Singh,321,204,9.441176470588236
Karim Janat,30,6,30.0
Kartik Tyagi,713,422,10.137440758293838
Kuldeep Yadav,2749,2052,8.038011695906432
L Ablish,75,42,10.714285714285714
L Balaji,2028,1512,8.047619047619047
L Ngidi,529,372,8.53225806451613
L Wood,93,36,15.5
LA Carseldine,6,6,6.0
LB Williams,72,36,12.0
LE Plunkett,225,150,9.0
LH Ferguson,1532,1026,8.95906432748538
LI Meriwala,32,18,10.666666666666666
LJ Wright,124,71,10.47887323943662
LMP Simmons,34,18,11.333333333333334
LPC Silva,21,6,21.0
LR Shukla,447,314,8.54140127388535
LRPL Taylor,24,12,12.0
LS Livingstone,469,312,9.01923076923077
Lalit Yadav,425,288,8.854166666666666
M Ashwin,1162,870,8.013793103448275
M Jansen,1143,727,9.433287482806053
M Kartik,1388,1149,7.248041775456919
M Manhas,42,42,6.0
M Markande,1069,720,8.908333333333333
M Morkel,2089,1629,7.694290976058932
M Muralitharan,1706,1528,6.698952879581152
M Ntini,242,210,6.914285714285715
M Pathirana,994,682,8.744868035190615
M Prasidh Krishna,2201,1505,8.774750830564784
M Shahrukh Khan,28,18,9.333333333333334
M Siddharth,138,96,8.625
M Theekshana,1170,852,8.23943661971831
M Vijay,49,36,8.166666666666666
M de Lange,169,108,9.38888888888889
MA Khote,51,30,10.2
MA Starc,1479,1028,8.632295719844358
MA Wood,179,120,8.95
MB Parmar,33,18,11.0
MC Henriques,1289,950,8.141052631578948
MF Maharoof,520,420,7.428571428571429
MG Bracewell,95,66,8.636363636363637
MG Johnson,1708,1235,8.297975708502024
MG Neser,62,24,15.5
MJ Clarke,67,66,6.090909090909091
MJ Henry,181,102,10.647058823529411
MJ McClenaghan,1803,1274,8.491365777080063
MJ Santner,735,603,7.313432835820896
MJ Suthar,26,12,13.0
MK Lomror,127,90,8.466666666666667
MK Tiwary,83,42,11.857142857142858
MM Ali,1016,830,7.344578313253012
MM Patel,1698,1355,7.518819188191882
MM Sharma,3513,2403,8.771535580524345
MN Samuels,284,214,7.962616822429907
MP Stoinis,1449,888,9.79054054054054
MP Yadav,185,121,9.173553719008265
MR Marsh,784,547,8.59963436928702
MS Gony,1287,888,8.695945945945946
MW Short,25,24,6.25
Mandeep Singh,26,12,13.0
Mashrafe Mortaza,58,24,14.5
Mayank Dagar,203,137,8.89051094890511
Mohammad Asif,296,192,9.25
Mohammad Hafeez,68,60,6.8
Mohammad Nabi,517,417,7.438848920863309
Mohammed Shami,3757,2614,8.623565416985462
Mohammed Siraj,3349,2300,8.736521739130435
Mohit Rathee,29,12,14.5
Mohsin Khan,689,486,8.506172839506172
Monu Kumar,20,12,10.0
Mujeeb Ur Rahman,620,446,8.340807174887892
Mukesh Choudhary,522,315,9.942857142857143
Mukesh Kumar,1102,636,10.39622641509434
Musheer Khan,27,12,13.5
Mustafizur Rahman,1849,1364,8.133431085043988
N Burger,145,102,8.529411764705882
N Rana,270,192,8.4375
N Thushara,283,180,9.433333333333334
N Wadhera,22,17,7.764705882352941
NA Saini,34,12,17.0
NB Singh,15,24,3.75
ND Doshi,79,56,8.464285714285714
NJ Rimmington,19,18,6.333333333333333
NL McCullum,34,30,6.8
NLTC Perera,1016,698,8.73352435530086
NM Coulter-Nile,1100,857,7.7012835472578764
NT Ellis,546,378,8.666666666666666
Naman Dhir,76,52,8.76923076923077
Navdeep Saini,934,646,8.674922600619196
Naveen-ul-Haq,591,387,9.162790697674419
Nithish Kumar Reddy,254,139,10.964028776978417
Noor Ahmad,1067,792,8.083333333333334
O Thomas,73,54,8.11111111111111
OC McCoy,250,161,9.316770186335404
OF Smith,178,90,11.866666666666667
P Amarnath,236,132,10.727272727272727
P Awana,1029,747,8.265060240963855
P Dubey,111,78,8.538461538461538
P Kumar,3251,2524,7.728209191759112
P Negi,939,716,7.868715083798882
P Parameswaran,224,154,8.727272727272727
P Prasanth,18,6,18.0
P Ray Barman,56,24,14.0
P Sahu,146,105,8.342857142857143
P Suyal,151,96,9.4375
PC Valthaty,205,151,8.14569536423841
PD Collingwood,101,89,6.808988764044944
PH Solanki,38,36,6.333333333333333
PHKD Mendis,60,42,8.571428571428571
PJ Cummins,2354,1593,8.866290018832391
PJ Sangwan,1240,856,8.69158878504673
PM Sarvesh Kumar,42,30,8.4
PP Chawla,5108,3850,7.960519480519481
PP Ojha,2332,1899,7.368088467614534
PV Tambe,814,642,7.607476635514018
PVD Chameera,603,372,9.725806451612904
PVSN Raju,53,24,13.25
PWA Mulder,16,6,16.0
PWH de Silva,1119,798,8.413533834586467
Pankaj Singh,468,300,9.36
Parvez Rasool,271,198,8.212121212121213
Prince Yadav,225,137,9.854014598540147
R Ashwin,5652,4710,7.2
R Bhatia,2020,1636,7.408312958435208
R Dhawan,891,662,8.075528700906345
R Goyal,33,24,8.25
R McLaren,542,354,9.186440677966102
R Ninan,65,36,10.833333333333334
R Parag,467,289,9.695501730103807
R Powell,35,18,11.666666666666666
R Rampaul,309,268,6.917910447761194
R Ravindra,7,12,3.5
R Sai Kishore,651,441,8.857142857142858
R Sanjay Yadav,23,12,11.5
R Sathish,232,139,10.014388489208633
R Sharma,1082,922,7.0412147505422995
R Shepherd,408,210,11.657142857142857
R Shukla,208,120,10.4
R Tewatia,1111,843,7.907473309608541
R Vinay Kumar,2986,2127,8.423131170662906
RA Jadeja,5177,4038,7.692421991084696
RA Shaikh,11,6,11.0
RA Tripathi,12,6,12.0
RD Chahar,2150,1670,7.724550898203593
RE van der Merwe,498,443,6.744920993227991
RG More,59,35,10.114285714285714
RG Sharma,453,339,8.017699115044248
RJ Gleeson,110,68,9.705882352941176
RJ Harris,1047,832,7.550480769230769
RJ Peterson,70,48,8.75
RJW Topley,222,120,11.1
RN ten Doeschate,94,78,7.230769230769231
RP Meredith,612,388,9.463917525773196
RP Singh,2338,1775,7.903098591549296
RR Bhatkal,35,12,17.5
RR Bose,24,12,12.0
RR Powar,527,426,7.422535211267606
RR Raje,209,139,9.02158273381295
RS Bopara,292,206,8.504854368932039
RS Gavaskar,8,6,8.0
RS Hangargekar,60,36,10.0
RV Gomez,129,96,8.0625
RV Patel,22,18,7.333333333333333
RW Price,33,18,11.0
Ramandeep Singh,63,40,9.45
Rashid Khan,3781,3202,7.084946908182386
Rasikh Salam,409,231,10.623376623376624
Ravi Bishnoi,2237,1633,8.219228413962034
S Aravind,1039,760,8.202631578947368
S Badree,319,258,7.4186046511627906
S Dhawan,66,48,8.25
S Dube,213,124,10.306451612903226
S Gopal,1337,985,8.144162436548223
S Joseph,47,24,11.75
S Kaul,1739,1209,8.630272952853598
S Kaushik,297,204,8.735294117647058
S Ladda,224,138,9.73913043478261
S Lamichhane,292,210,8.342857142857143
S Midhun,27,12,13.5
S Nadeem,1784,1415,7.564664310954064
S Narwal,202,106,11.433962264150944
S Rana,18,16,6.75
S Randiv,223,174,7.689655172413793
S Sandeep Warrier,253,168,9.035714285714286
S Sreesanth,1194,880,8.14090909090909
S Sriram,49,18,16.333333333333332
S Tyagi,295,209,8.4688995215311
S Vidyut,22,12,11.0
SA Abbott,104,54,11.555555555555555
SA Yadav,8,6,8.0
SB Bangar,219,150,8.76
SB Jakati,1451,1085,8.023963133640553
SB Joshi,82,55,8.945454545454545
SB Styris,276,216,7.666666666666667
SB Wagh,137,102,8.058823529411764
SC Ganguly,363,276,7.891304347826087
SC Kuggeleijn,71,48,8.875
SD Chitnis,60,36,10.0
SE Bond,224,186,7.225806451612903
SE Rutherford,59,41,8.634146341463415
SH Johnson,284,164,10.390243902439025
SJ Srivastava,441,282,9.382978723404255
SK Raina,1118,908,7.387665198237886
SK Trivedi,1904,1506,7.585657370517929
SK Warne,1447,1194,7.271356783919598
SL Malinga,3366,2827,7.143968871595331
SM Boland,54,42,7.714285714285714
SM Curran,2033,1253,9.735035913806863
SM Harwood,73,60,7.3
SM Pollock,301,276,6.543478260869565
SMSM Senanayake,209,192,6.53125
SN Khan,6,2,18.0
SN Thakur,3244,2070,9.402898550724638
SP Narine,4898,4327,6.791772590709498
SPD Smith,5,2,15.0
SR Tendulkar,58,36,9.666666666666666
SR Watson,2655,2011,7.921432123321731
SS Agarwal,42,24,10.5
SS Cottrell,176,120,8.8
SS Iyer,7,6,7.0
SS Sarkar,34,25,8.16
SSB Magala,51,36,8.5
ST Jayasuriya,390,294,7.959183673469388
STR Binny,726,570,7.6421052631578945
SW Tait,640,473,8.118393234672304
SZ Mulani,57,30,11.4
Sachin Baby,8,10,4.8
Sandeep Sharma,4083,3045,8.045320197044335
Shahbaz Ahmed,939,588,9.581632653061224
Shahid Afridi,225,180,7.5
Shakib Al Hasan,1839,1484,7.435309973045822
Shashank Singh,52,30,10.4
Shivam Mavi,942,649,8.708782742681048
Shivam Sharma,165,114,8.68421052631579
Shoaib Ahmed,152,102,8.941176470588236
Shoaib Akhtar,54,42,7.714285714285714
Shoaib Malik,85,51,10.0
Sikandar Raza,141,84,10.071428571428571
Simarjeet Singh,400,240,10.0
Sohail Tanvir,266,247,6.461538461538462
Sumit Kumar,38,20,11.4
Sunny Gupta,47,18,15.666666666666666
Suryansh Shedge,40,18,13.333333333333334
Suyash Sharma,814,558,8.75268817204301
Swapnil Singh,241,162,8.925925925925926
T Henderson,40,36,6.666666666666667
T Natarajan,2018,1355,8.93579335793358
T Shamsi,181,120,9.05
T Stubbs,69,36,11.5
T Thushara,161,135,7.155555555555556
TA Boult,3762,2687,8.400446594715296
TG Southee,1710,1182,8.680203045685278
TK Curran,430,238,10.840336134453782
TL Suman,197,150,7.88
TM Dilshan,366,271,8.103321033210332
TM Head,113,58,11.689655172413794
TP Sudhindra,136,70,11.657142857142857
TS Mills,343,209,9.84688995215311
TU Deshpande,1582,959,9.897810218978103
Tejas Baroka,33,21,9.428571428571429
Tilak Varma,28,22,7.636363636363637
UT Yadav,4322,3050,8.502295081967214
Umar Gul,184,135,8.177777777777777
Umran Malik,772,493,9.39553752535497
V Kaverappa,36,24,9.0
V Kohli,368,251,8.796812749003983
V Nigam,356,234,9.128205128205128
V Pratap Singh,296,204,8.705882352941176
V Puthur,109,72,9.083333333333334
V Sehwag,235,136,10.367647058823529
V Shankar,344,238,8.672268907563025
V Viyaskanth,86,60,8.6
VG Arora,982,614,9.596091205211726
VR Aaron,1458,988,8.854251012145749
VR Iyer,143,81,10.592592592592593
VRV Singh,542,360,9.033333333333333
VS Malik,261,205,7.639024390243902
VS Yeligati,59,30,11.8
VY Mahesh,499,339,8.831858407079647
Vijaykumar Vyshak,576,333,10.378378378378379
Vivrant Sharma,37,18,12.333333333333334
W O'Rourke,132,62,12.774193548387096
WA Mota,97,72,8.083333333333334
WD Parnell,937,723,7.775933609958506
WG Jacks,220,138,9.565217391304348
WPUJC Vaas,355,282,7.553191489361702
Washington Sundar,1436,1119,7.6997319034852545
XC Bartlett,96,60,9.6
Y Gnaneswara Rao,7,6,7.0
Y Nagar,125,66,11.363636363636363
Y Prithvi Raj,57,30,11.4
Y Venugopal Rao,337,216,9.36111111111111
YA Abdulla,307,209,8.813397129186603
YBK Jaiswal,6,1,36.0
YK Pathan,1415,1147,7.401918047079337
YS Chahal,5006,3771,7.964996022275258
Yash Dayal,1390,871,9.5752009184845
Yash Thakur,770,443,10.428893905191874
Yudhvir Singh,253,138,11.0
Yuvraj Singh,1069,863,7.432213209733487
Z Khan,2782,2199,7.590723055934515
Zeeshan Ansari,303,185,9.827027027027027
